table,set,B,n,metric,value
credit_unbanded,pooled,100,1095,confluence.max_multi_mask_skips,6
credit_band101-1000,pooled,100,3000,rho_leave_one_out.r2g_linear,0.198709
credit_band101-1000,pooled,100,3000,rho_leave_one_out.strict_v1_linear,0.246271
credit_band101-1000,pooled,100,3000,rho_leave_one_out.per_rule_rate,0.288063
credit_band101-1000,pooled,100,3000,rho_leave_one_out.loose,NaN
credit_band101-1000,pooled,100,3000,rho_leave_one_out.tight,NaN
credit_band101-1000,pooled,100,3000,rho_leave_one_out.strict,0.509634
credit_band101-1000,pooled,100,3000,rho_leave_one_out.strict_by_output_class,0.010912
credit_band101-1000,pooled,100,3000,rho_multi_mask.r2g_linear,0.145032
credit_band101-1000,pooled,100,3000,rho_multi_mask.strict_v1_linear,0.209399
credit_band101-1000,pooled,100,3000,rho_multi_mask.per_rule_rate,0.201996
credit_band101-1000,pooled,100,3000,rho_multi_mask.loose,NaN
credit_band101-1000,pooled,100,3000,rho_multi_mask.tight,NaN
credit_band101-1000,pooled,100,3000,rho_multi_mask.strict,0.564514
credit_band101-1000,pooled,100,3000,rho_multi_mask.strict_by_output_class,0.031032
credit_band101-1000,pooled,100,3000,confluence.n_leave_one_out_zero,2525
credit_band101-1000,pooled,100,3000,confluence.n_zero_to_positive,90
credit_band101-1000,pooled,100,3000,confluence.n_zero_to_negative,20
credit_band101-1000,pooled,100,3000,confluence.share_of_zero_that_becomes_positive,0.035644
credit_band101-1000,pooled,100,3000,confluence.n_multi_mask_skips_gt_1,425
credit_band101-1000,pooled,100,3000,confluence.mean_multi_mask_skips,1.1643
credit_band101-1000,pooled,100,3000,confluence.max_multi_mask_skips,6
