name,category,rule_order,node_count,max_classes,stop,hit_class_cap,live_before,closure_unions,live_after,reduction_frac,cost_before,cost_after,cost_change_frac,would_avoid_cap
glyph16:U+0063,glyph,production,4671,5000,ClassCap,true,2700,0,2700,0.000000,8419,8419,0.000000,true
glyph16:U+0064,glyph,production,5864,5000,ClassCap,true,3022,0,3022,0.000000,10763,10763,0.000000,true
glyph16:U+0065,glyph,production,4872,5000,ClassCap,true,2751,0,2751,0.000000,8766,8766,0.000000,true
glyph16:U+0066,glyph,production,2364,5000,ClassCap,true,1682,5,1677,0.002973,3955,3955,0.000000,true
glyph16:U+0067,glyph,production,7009,5000,ClassCap,true,3208,0,3208,0.000000,12799,12799,0.000000,true
glyph16:U+0068,glyph,production,2931,5000,ClassCap,true,2082,0,2082,0.000000,5045,5045,0.000000,true
glyph16:U+0069,glyph,production,2123,5000,ClassCap,true,1455,2,1453,0.001375,3510,3510,0.000000,true
glyph16:U+006A,glyph,production,4293,5000,ClassCap,true,2597,0,2597,0.000000,7523,7523,0.000000,true
glyph16:U+006B,glyph,production,1460,5000,ClassCap,true,1306,0,1306,0.000000,2517,2517,0.000000,true
glyph16:U+006C,glyph,production,323,5000,ClassCap,true,467,1,466,0.002141,522,522,0.000000,true
glyph16:U+006D,glyph,production,5289,5000,ClassCap,true,2856,0,2856,0.000000,9624,9624,0.000000,true
glyph16:U+006E,glyph,production,2264,5000,ClassCap,true,1631,8,1623,0.004905,3759,3759,0.000000,true
glyph16:U+006F,glyph,production,5716,5000,ClassCap,true,2947,0,2947,0.000000,10262,10262,0.000000,true
glyph16:U+0070,glyph,production,5406,5000,ClassCap,true,2901,0,2901,0.000000,9922,9922,0.000000,true
glyph16:U+0071,glyph,production,5046,5000,ClassCap,true,2802,0,2802,0.000000,9172,9172,0.000000,true
glyph16:U+0072,glyph,production,2456,5000,ClassCap,true,1804,5,1799,0.002772,4180,4180,0.000000,true
glyph16:U+0073,glyph,production,6929,5000,ClassCap,true,3201,0,3201,0.000000,12680,12680,0.000000,true
glyph16:U+0074,glyph,production,2421,5000,ClassCap,true,1796,3,1793,0.001670,4109,4109,0.000000,true
glyph16:U+0075,glyph,production,2493,5000,ClassCap,true,1809,2,1807,0.001106,4153,4153,0.000000,true
glyph16:U+0076,glyph,production,1115,5000,ClassCap,true,1182,9,1173,0.007614,1760,1760,0.000000,true
glyph16:U+0077,glyph,production,3663,5000,ClassCap,true,2492,1,2491,0.000401,6602,6602,0.000000,true
glyph16:U+0078,glyph,production,343,5000,ClassCap,true,620,1,619,0.001613,639,639,0.000000,true
glyph16:U+0079,glyph,production,3530,5000,ClassCap,true,2436,0,2436,0.000000,6403,6403,0.000000,true
glyph16:U+007A,glyph,production,255,5000,ClassCap,true,459,0,459,0.000000,393,393,0.000000,true
glyph16:U+007B,glyph,production,4598,5000,ClassCap,true,2694,0,2694,0.000000,8205,8205,0.000000,true
glyph16:U+007C,glyph,production,119,5000,Quiesced,false,112,0,112,0.000000,133,133,0.000000,false
glyph16:U+007D,glyph,production,4598,5000,ClassCap,true,2688,0,2688,0.000000,8215,8215,0.000000,true
glyph16:U+007E,glyph,production,5093,5000,ClassCap,true,2812,0,2812,0.000000,9370,9370,0.000000,true
glyph32:U+0020,glyph,production,1,500,Quiesced,false,1,0,1,0.000000,0,0,0.000000,false
glyph32:U+0021,glyph,production,1927,5000,ClassCap,true,1352,0,1352,0.000000,3125,3125,0.000000,true
glyph32:U+0022,glyph,production,199,5000,ClassCap,true,421,32,389,0.076010,310,286,-0.077419,true
glyph32:U+0023,glyph,production,615,5000,ClassCap,true,826,41,785,0.049637,1014,1014,0.000000,true
glyph32:U+0024,glyph,production,7185,5000,ClassCap,true,3246,0,3246,0.000000,13131,13131,0.000000,true
glyph32:U+0025,glyph,production,7327,5000,ClassCap,true,3186,0,3186,0.000000,12640,12640,0.000000,true
glyph32:U+0026,glyph,production,9420,5000,ClassCap,true,4308,0,4308,0.000000,17979,17979,0.000000,true
glyph32:U+0027,glyph,production,127,5000,ClassCap,true,582,61,521,0.104811,171,152,-0.111111,true
glyph32:U+0028,glyph,production,1855,5000,ClassCap,true,1379,0,1379,0.000000,3039,3039,0.000000,true
glyph32:U+0029,glyph,production,1855,5000,ClassCap,true,1378,0,1378,0.000000,3039,3039,0.000000,true
glyph32:U+002A,glyph,production,559,5000,ClassCap,true,1002,34,968,0.033932,1143,1143,0.000000,true
glyph32:U+002B,glyph,production,247,5000,ClassCap,true,244,0,244,0.000000,319,319,0.000000,true
glyph32:U+002C,glyph,production,1694,5000,ClassCap,true,1366,0,1366,0.000000,2779,2779,0.000000,true
glyph32:U+002D,glyph,production,119,5000,Quiesced,false,116,0,116,0.000000,133,133,0.000000,false
glyph32:U+002E,glyph,production,1855,5000,ClassCap,true,1354,0,1354,0.000000,2881,2881,0.000000,true
glyph32:U+002F,glyph,production,127,5000,Timeout,false,447,37,410,0.082774,166,147,-0.114458,false
glyph32:U+0030,glyph,production,5402,5000,ClassCap,true,2903,0,2903,0.000000,9970,9970,0.000000,true
glyph32:U+0031,glyph,production,1452,5000,ClassCap,true,1323,0,1323,0.000000,2520,2520,0.000000,true
glyph32:U+0032,glyph,production,3891,5000,ClassCap,true,2533,0,2533,0.000000,6980,6980,0.000000,true
glyph32:U+0033,glyph,production,6993,5000,ClassCap,true,3209,0,3209,0.000000,12797,12797,0.000000,true
glyph32:U+0034,glyph,production,1637,5000,ClassCap,true,1337,0,1337,0.000000,2751,2751,0.000000,true
glyph32:U+0035,glyph,production,4546,5000,ClassCap,true,2683,0,2683,0.000000,8145,8145,0.000000,true
glyph32:U+0036,glyph,production,8067,5000,ClassCap,true,3663,0,3663,0.000000,15249,15249,0.000000,true
glyph32:U+0037,glyph,production,191,5000,ClassCap,true,377,0,377,0.000000,288,288,0.000000,true
glyph32:U+0038,glyph,production,9774,5000,ClassCap,true,4420,0,4420,0.000000,18500,18500,0.000000,true
glyph32:U+0039,glyph,production,8267,5000,ClassCap,true,3774,0,3774,0.000000,15698,15698,0.000000,true
glyph32:U+003A,glyph,production,3655,5000,ClassCap,true,2312,0,2312,0.000000,6228,6228,0.000000,true
glyph32:U+003B,glyph,production,3494,5000,ClassCap,true,2307,0,2307,0.000000,6080,6080,0.000000,true
glyph32:U+003C,glyph,production,295,5000,ClassCap,true,420,0,420,0.000000,514,514,0.000000,true
glyph32:U+003D,glyph,production,183,5000,Quiesced,false,172,0,172,0.000000,231,231,0.000000,false
glyph32:U+003E,glyph,production,295,5000,ClassCap,true,421,0,421,0.000000,519,519,0.000000,true
glyph32:U+003F,glyph,production,6716,5000,ClassCap,true,3176,0,3176,0.000000,12176,12176,0.000000,true
glyph32:U+0040,glyph,production,12056,5000,ClassCap,true,5226,0,5226,0.000000,23527,23527,0.000000,false
glyph32:U+0041,glyph,production,1605,5000,ClassCap,true,1340,0,1340,0.000000,2672,2672,0.000000,true
glyph32:U+0042,glyph,production,4470,5000,ClassCap,true,2650,0,2650,0.000000,7970,7970,0.000000,true
glyph32:U+0043,glyph,production,5129,5000,ClassCap,true,2830,0,2830,0.000000,9459,9459,0.000000,true
glyph32:U+0044,glyph,production,2606,5000,ClassCap,true,1933,0,1933,0.000000,4506,4506,0.000000,true
glyph32:U+0045,glyph,production,247,5000,ClassCap,true,369,0,369,0.000000,335,335,0.000000,true
glyph32:U+0046,glyph,production,215,5000,ClassCap,true,330,0,330,0.000000,285,285,0.000000,true
glyph32:U+0047,glyph,production,4563,5000,ClassCap,true,2695,0,2695,0.000000,8262,8262,0.000000,true
glyph32:U+0048,glyph,production,247,5000,ClassCap,true,368,0,368,0.000000,314,314,0.000000,true
glyph32:U+0049,glyph,production,391,5000,ClassCap,true,565,1,564,0.001770,626,626,0.000000,true
glyph32:U+004A,glyph,production,2425,5000,ClassCap,true,1868,0,1868,0.000000,4339,4339,0.000000,true
glyph32:U+004B,glyph,production,617,5000,ClassCap,true,925,15,910,0.016216,1047,1047,0.000000,true
glyph32:U+004C,glyph,production,151,5000,ClassCap,true,421,0,421,0.000000,185,185,0.000000,true
glyph32:U+004D,glyph,production,2345,5000,ClassCap,true,1703,7,1696,0.004110,4133,4133,0.000000,true
glyph32:U+004E,glyph,production,1399,5000,ClassCap,true,1325,0,1325,0.000000,2457,2457,0.000000,true
glyph32:U+004F,glyph,production,5945,5000,ClassCap,true,3006,0,3006,0.000000,10769,10769,0.000000,true
glyph32:U+0050,glyph,production,2409,5000,ClassCap,true,1714,4,1710,0.002334,3990,3990,0.000000,true
glyph32:U+0051,glyph,production,6053,5000,ClassCap,true,3029,0,3029,0.000000,10749,10749,0.000000,true
glyph32:U+0052,glyph,production,2710,5000,ClassCap,true,2000,0,2000,0.000000,4725,4725,0.000000,true
glyph32:U+0053,glyph,production,7616,5000,ClassCap,true,3414,0,3414,0.000000,14066,14066,0.000000,true
glyph32:U+0054,glyph,production,183,5000,ClassCap,true,467,3,464,0.006424,227,227,0.000000,true
glyph32:U+0055,glyph,production,2899,5000,ClassCap,true,2079,0,2079,0.000000,5170,5170,0.000000,true
glyph32:U+0056,glyph,production,1573,5000,ClassCap,true,1319,0,1319,0.000000,2647,2647,0.000000,true
glyph32:U+0057,glyph,production,7232,5000,ClassCap,true,3271,0,3271,0.000000,13499,13499,0.000000,true
glyph32:U+0058,glyph,production,343,5000,ClassCap,true,628,1,627,0.001592,652,652,0.000000,true
glyph32:U+0059,glyph,production,263,5000,ClassCap,true,412,1,411,0.002427,437,437,0.000000,true
glyph32:U+005A,glyph,production,255,5000,ClassCap,true,458,0,458,0.000000,393,393,0.000000,true
glyph32:U+005B,glyph,production,183,5000,Quiesced,false,175,0,175,0.000000,234,234,0.000000,false
