expr_name,origin,tier,node_count,app_target,app_actual,cost,ended,ended_at_apps
train_b13_f04_01072,train,rapid,49,50,58,996,quiesced,7640
train_b13_f04_01072,train,rapid,49,100,113,996,quiesced,7640
train_b13_f04_01072,train,rapid,49,200,200,996,quiesced,7640
train_b13_f04_01072,train,rapid,49,400,406,996,quiesced,7640
train_b13_f04_01072,train,rapid,49,800,802,996,quiesced,7640
train_b13_f04_01072,train,rapid,49,1600,1620,438,quiesced,7640
train_b13_f04_01072,train,rapid,49,3200,3254,433,quiesced,7640
train_b13_f04_01072,train,rapid,49,6400,6539,433,quiesced,7640
train_b13_f04_01072,train,rapid,49,12800,7640,433,quiesced,7640
train_b13_f04_01072,train,rapid,49,25600,7640,433,quiesced,7640
train_b13_f04_01072,train,rapid,49,51200,7640,433,quiesced,7640
train_b13_f04_01072,train,rapid,49,102400,7640,433,quiesced,7640
train_b13_f04_01072,train,rapid,49,204800,7640,433,quiesced,7640
train_b18_f02_01493,train,rapid,49,25,25,1354,quiesced,272
train_b18_f02_01493,train,rapid,49,50,55,1354,quiesced,272
train_b18_f02_01493,train,rapid,49,100,108,1354,quiesced,272
train_b18_f02_01493,train,rapid,49,200,206,803,quiesced,272
train_b18_f02_01493,train,rapid,49,400,272,803,quiesced,272
train_b18_f02_01493,train,rapid,49,800,272,803,quiesced,272
train_b18_f02_01493,train,rapid,49,1600,272,803,quiesced,272
train_b18_f02_01493,train,rapid,49,3200,272,803,quiesced,272
train_b18_f02_01493,train,rapid,49,6400,272,803,quiesced,272
train_b18_f02_01493,train,rapid,49,12800,272,803,quiesced,272
train_b18_f02_01493,train,rapid,49,25600,272,803,quiesced,272
train_b18_f02_01493,train,rapid,49,51200,272,803,quiesced,272
train_b18_f02_01493,train,rapid,49,102400,272,803,quiesced,272
train_b18_f02_01493,train,rapid,49,204800,272,803,quiesced,272
dev_b22_f01_00475,dev,rapid,50,25,25,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,50,55,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,100,104,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,200,205,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,400,257,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,800,257,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,1600,257,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,3200,257,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,6400,257,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,12800,257,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,25600,257,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,51200,257,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,102400,257,805,quiesced,257
dev_b22_f01_00475,dev,rapid,50,204800,257,805,quiesced,257
train_b21_f07_01902,train,rapid,50,25,26,1303,quiesced,196
train_b21_f07_01902,train,rapid,50,50,56,1303,quiesced,196
train_b21_f07_01902,train,rapid,50,100,102,1303,quiesced,196
train_b21_f07_01902,train,rapid,50,200,196,1122,quiesced,196
train_b21_f07_01902,train,rapid,50,400,196,1122,quiesced,196
train_b21_f07_01902,train,rapid,50,800,196,1122,quiesced,196
train_b21_f07_01902,train,rapid,50,1600,196,1122,quiesced,196
train_b21_f07_01902,train,rapid,50,3200,196,1122,quiesced,196
train_b21_f07_01902,train,rapid,50,6400,196,1122,quiesced,196
train_b21_f07_01902,train,rapid,50,12800,196,1122,quiesced,196
train_b21_f07_01902,train,rapid,50,25600,196,1122,quiesced,196
train_b21_f07_01902,train,rapid,50,51200,196,1122,quiesced,196
train_b21_f07_01902,train,rapid,50,102400,196,1122,quiesced,196
train_b21_f07_01902,train,rapid,50,204800,196,1122,quiesced,196
train_b10_f07_00892,train,classical,51,25,26,980,quiesced,273
train_b10_f07_00892,train,classical,51,50,65,976,quiesced,273
train_b10_f07_00892,train,classical,51,100,106,973,quiesced,273
train_b10_f07_00892,train,classical,51,200,204,240,quiesced,273
train_b10_f07_00892,train,classical,51,400,273,240,quiesced,273
train_b10_f07_00892,train,classical,51,800,273,240,quiesced,273
train_b10_f07_00892,train,classical,51,1600,273,240,quiesced,273
train_b10_f07_00892,train,classical,51,3200,273,240,quiesced,273
train_b10_f07_00892,train,classical,51,6400,273,240,quiesced,273
train_b10_f07_00892,train,classical,51,12800,273,240,quiesced,273
train_b10_f07_00892,train,classical,51,25600,273,240,quiesced,273
train_b10_f07_00892,train,classical,51,51200,273,240,quiesced,273
train_b10_f07_00892,train,classical,51,102400,273,240,quiesced,273
train_b10_f07_00892,train,classical,51,204800,273,240,quiesced,273
train_b20_f00_01692,train,classical,51,25,34,910,quiesced,95
train_b20_f00_01692,train,classical,51,50,54,910,quiesced,95
train_b20_f00_01692,train,classical,51,100,95,910,quiesced,95
