rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,sweeps_actual,evals_actual,apps_per_sweep,cost,ended,ended_at_apps
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,200,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,400,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,800,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,1600,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,3200,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,6400,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,12800,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,25600,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,51200,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,102400,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,train_b20_f05_01751,train,blitz,7,204800,80,4,6129,8,12,quiesced,80
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,25,26,2,2027,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,50,53,3,3972,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,100,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,200,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,400,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,800,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,1600,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,3200,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,6400,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,12800,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,25600,95,4,6328,19,10,quiesced,95
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f05_00081,dev,blitz,8,51200,95,4,6328,19,10,quiesced,95
