rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,cost,ended,ended_at_apps
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,100,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,200,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,400,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,800,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,1600,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,3200,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,6400,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,12800,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,25600,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,51200,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,102400,13,141,quiesced,13
base,62,e99af8402beaff5d,dev_b33_f05_00747,dev,blitz,9,204800,13,141,quiesced,13
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,25,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,50,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,100,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,200,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,400,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,800,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,1600,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,3200,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,6400,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,12800,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,25600,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,51200,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,102400,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b02_f03_00166,train,blitz,9,204800,16,145,quiesced,16
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,25,31,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,50,49,92,quiesced,49
base,62,e99af8402beaff5d,train_b03_f06_00318,train,blitz,9,100,49,92,quiesced,49
