era,set,n,B,arm,metric,median_ratio,q1_ratio,q3_ratio,improved,unchanged,worse,median_ratio_4B_vs_unguided_B,improved_4B,worse_4B,median_apps_at_stop,stop_reasons,median_classes_at_stop,median_app_actual_arm_at_B,median_app_actual_unguided_at_B
A-retired-head-b26506bd,sh_bil,100,100,control,tree_dp,0.9095,0.8935,0.932,100,0,0,0.8928,100,0,800.0,"{""app_budget"": 100}",504.5,100.0,123.5
A-retired-head-b26506bd,sh_bil,100,100,control,dag,1.0968,1.0274,1.2194,7,0,93,1.1195,3,97,800.0,"{""app_budget"": 100}",504.5,100.0,123.5
A-retired-head-b26506bd,sh_bil,100,100,linear,tree_dp,0.9047,0.8821,0.921,100,0,0,0.8928,100,0,800.0,"{""app_budget"": 100}",525.5,100.0,123.5
A-retired-head-b26506bd,sh_bil,100,100,linear,dag,1.1053,1.0426,1.2314,3,0,97,1.1126,10,90,800.0,"{""app_budget"": 100}",525.5,100.0,123.5
A-retired-head-b26506bd,sh_bil,100,200,control,tree_dp,0.8974,0.8731,0.9182,100,0,0,0.8886,100,0,800.0,"{""app_budget"": 100}",504.5,200.0,214.0
A-retired-head-b26506bd,sh_bil,100,200,control,dag,1.1197,1.041,1.2085,2,0,98,1.1199,1,99,800.0,"{""app_budget"": 100}",504.5,200.0,214.0
A-retired-head-b26506bd,sh_bil,100,200,linear,tree_dp,0.8996,0.8753,0.9186,100,0,0,0.8918,100,0,800.0,"{""app_budget"": 100}",525.5,200.0,214.0
A-retired-head-b26506bd,sh_bil,100,200,linear,dag,1.1197,1.0413,1.2387,3,0,97,1.1264,4,96,800.0,"{""app_budget"": 100}",525.5,200.0,214.0
A-retired-head-b26506bd,sh_bil,100,100,unguided,-,1.0,1.0,1.0,0,100,0,0.9989,0,0,831.5,"{""app_budget"": 100}",538.0,123.5,123.5
A-retired-head-b26506bd,sh_bil,100,200,unguided,-,1.0,1.0,1.0,0,100,0,0.9996,0,0,831.5,"{""app_budget"": 100}",538.0,214.0,214.0
A-retired-head-b26506bd,sh_r1b,95,100,control,tree_dp,0.9031,0.8916,0.9233,95,0,0,0.8919,95,0,800,"{""app_budget"": 95}",450,100,124
A-retired-head-b26506bd,sh_r1b,95,100,control,dag,1.0994,1.0652,1.2774,5,0,90,1.1336,0,95,800,"{""app_budget"": 95}",450,100,124
A-retired-head-b26506bd,sh_r1b,95,100,linear,tree_dp,0.9039,0.8916,0.9184,95,0,0,0.8919,95,0,800,"{""app_budget"": 95}",491,100,124
A-retired-head-b26506bd,sh_r1b,95,100,linear,dag,1.1138,1.0678,1.2774,0,0,95,1.1336,1,94,800,"{""app_budget"": 95}",491,100,124
A-retired-head-b26506bd,sh_r1b,95,200,control,tree_dp,0.894,0.8782,0.9145,95,0,0,0.8843,95,0,800,"{""app_budget"": 95}",450,200,216
A-retired-head-b26506bd,sh_r1b,95,200,control,dag,1.1334,1.0658,1.2857,0,0,95,1.1258,1,94,800,"{""app_budget"": 95}",450,200,216
A-retired-head-b26506bd,sh_r1b,95,200,linear,tree_dp,0.8959,0.883,0.9159,95,0,0,0.8909,95,0,800,"{""app_budget"": 95}",491,200,216
A-retired-head-b26506bd,sh_r1b,95,200,linear,dag,1.1355,1.07,1.2731,0,0,95,1.1318,2,93,800,"{""app_budget"": 95}",491,200,216
A-retired-head-b26506bd,sh_r1b,95,100,unguided,-,1.0,1.0,1.0,0,95,0,0.9988,0,0,847,"{""app_budget"": 95}",516,124,124
