name,category,budget,node_count,classes,reachable_classes,free_classes,branch_product_log10,stop,greedy_dag,greedy_tree,greedy_reported,treeopt_dag,treeopt_tree,exact_status,exact_dag,exact_lower_bound,exact_expansions,exact_ms,ratio,loss_dp,loss_sharing,cycle_priced_used_by_exact,cycle_priced_total,reported_matches_returned,reported_delta,dominated_candidates,dp_loss_frac,objective_miss_frac
glyph16:U+004C,glyph,production,151,3360,420,233,128.630,ClassCap,185,307,4611686018427388157,185,307,UNSOLVED,169,52,7966720,4001.3,NaN,0,0,6,41,false,4611686018427387850,1031,0.000000,0.000000
glyph16:U+004D,glyph,production,2345,4914,1703,453,231.732,ClassCap,4133,17380,17380,4133,17380,UNSOLVED,4133,161,9834496,4000.5,NaN,0,0,14,14,true,0,1601,0.000000,0.000000
glyph16:U+004E,glyph,production,1399,4653,1325,386,205.333,ClassCap,2457,8960,8960,2457,8960,UNSOLVED,2457,161,9428992,4000.5,NaN,0,0,6,6,true,0,1799,0.000000,0.000000
glyph16:U+004F,glyph,production,5945,5000,3006,450,156.874,ClassCap,10769,94867,18446744073709551615,10753,93361,UNSOLVED,10753,232,9160704,4000.7,NaN,16,0,10,10,false,-94868,1394,0.001486,0.015875
glyph16:U+0050,glyph,production,2409,4880,1714,487,250.557,ClassCap,3990,21912,21912,3990,21912,UNSOLVED,3990,161,8273920,4000.5,NaN,0,0,4,4,true,0,1583,0.000000,0.000000
glyph16:U+0051,glyph,production,6053,5000,3029,436,152.732,ClassCap,10749,96355,18446744073709551615,10741,95477,UNSOLVED,10741,240,10403840,4000.5,NaN,8,0,11,11,false,-96356,1382,0.000744,0.009112
glyph16:U+0052,glyph,production,2710,4509,2000,589,300.520,ClassCap,4725,31606,18446744073709551615,4716,28650,UNSOLVED,4716,173,12609536,4000.6,NaN,9,0,15,15,false,-31607,968,0.001905,0.093527
glyph16:U+0053,glyph,production,7616,5000,3414,207,62.313,ClassCap,14066,151765,18446744073709551615,14066,151765,UNSOLVED,14066,304,12312576,4000.7,NaN,0,0,6,6,false,-151766,1367,0.000000,0.000000
glyph16:U+0054,glyph,production,183,3520,466,232,128.532,ClassCap,227,394,9223372036854776093,227,394,UNSOLVED,214,56,7636992,4000.8,NaN,0,0,12,60,false,9223372036854775699,1097,0.000000,0.000000
glyph16:U+0055,glyph,production,2899,4686,2079,629,312.855,ClassCap,5170,34067,18446744073709551615,5006,33627,UNSOLVED,5006,173,5410816,4001.3,NaN,164,0,13,13,false,-34068,1035,0.031721,0.012916
glyph16:U+0056,glyph,production,1573,4614,1319,365,195.305,ClassCap,2647,11054,11054,2647,11054,UNSOLVED,2647,153,5148672,4000.6,NaN,0,0,8,8,true,0,1867,0.000000,0.000000
glyph16:U+0057,glyph,production,7232,5000,3271,217,65.500,ClassCap,13499,140483,18446744073709551615,13494,129208,UNSOLVED,13494,316,15001600,3961.0,NaN,5,0,11,11,false,-140484,1485,0.000370,0.080259
glyph16:U+0058,glyph,production,343,3607,623,243,133.018,ClassCap,652,963,18446744073709551615,652,963,UNSOLVED,652,85,12668928,4000.0,NaN,0,0,49,49,false,-964,1133,0.000000,0.000000
glyph16:U+0059,glyph,production,263,2684,411,177,102.108,ClassCap,437,687,13835058055282164173,437,687,UNSOLVED,437,77,14579712,4000.3,NaN,0,0,37,37,false,-4611686018427388130,782,0.000000,0.000000
glyph16:U+005A,glyph,production,255,3357,457,237,122.788,ClassCap,393,611,13835058055282164135,393,611,UNSOLVED,393,72,9031680,4000.8,NaN,0,0,45,45,false,-4611686018427388092,1091,0.000000,0.000000
glyph16:U+005B,glyph,production,183,1518,174,73,44.156,Quiesced,234,400,400,234,400,UNSOLVED,234,56,9449472,4000.9,NaN,0,0,0,0,true,0,534,0.000000,0.000000
glyph16:U+005C,glyph,production,127,3444,446,204,108.704,ClassCap,166,266,4611686018427388097,172,263,UNSOLVED,166,63,14473216,4000.3,NaN,-6,0,42,42,false,4611686018427387831,1176,-0.036145,0.011278
glyph16:U+005D,glyph,production,183,1516,176,73,44.156,Quiesced,244,410,410,244,410,UNSOLVED,244,57,9912320,4000.5,NaN,0,0,0,0,true,0,536,0.000000,0.000000
